OrigOrder,PriorityOrder,Airport_Code,Airport Name,City,State_Code,Latitude,Longitude,Elevation_FT,Tower Freq,Runway,RwyHdg,TDZE,VasiGS,VasiBoxLat,VasiBoxLong,NwLat,NwLong,NeLat,NeLong,SwLat,SwLong,SeLat,SeLong,CenterLat,CenterLong
11622,,HND,LAS VEGAS-HENDERSON SKY HARBOR,LAS VEGAS,NV,35.976667,-115.13333,2458,122.8,35L,360,2492,4.3,35.965413,-115.13552,35.980891,-115.135481,35.980891,-115.135147,35.963046,-115.135713,35.963043,-115.135374,35.97196775,-115.1354288
11622,,HND,LAS VEGAS-HENDERSON SKY HARBOR,LAS VEGAS,NV,35.976667,-115.13333,2458,122.8,17R,180,2492,3,35.979128,-115.13534,35.980891,-115.135481,35.980891,-115.135147,35.963046,-115.135713,35.963043,-115.135374,35.97196775,-115.1354288
11622,,HND,LAS VEGAS-HENDERSON SKY HARBOR,LAS VEGAS,NV,35.976667,-115.13333,2458,122.8,35R,360,2492,4.3,35.969524,-115.133107,35.980873,-115.133075,35.980871,-115.132825,35.967146,-115.13326,35.967145,-115.133013,35.97400875,-115.1330433
11622,,HND,LAS VEGAS-HENDERSON SKY HARBOR,LAS VEGAS,NV,35.976667,-115.13333,2458,122.8,17L,180,2492,3,35.979157,-115.132971,35.980873,-115.133075,35.980871,-115.132825,35.967146,-115.13326,35.967145,-115.133013,35.97400875,-115.1330433
9079,,ABQ,ALBUQUERQUE INTL,ALBUQUERQUE,NM,35.041667,-106.60833,5352,,8,90,5315,2.95,35.044285,-106.611302,35.044264,-106.575533,35.043858,-106.575532,35.044527,-106.61821,35.044138,-106.618213,35.04419675,-106.596872
9079,,ABQ,ALBUQUERQUE INTL,ALBUQUERQUE,NM,35.041667,-106.60833,5352,,26,270,5355,3,35.0441,-106.5813,35.044264,-106.575533,35.043858,-106.575532,35.044527,-106.61821,35.044138,-106.618213,35.04419675,-106.596872
9079,,ABQ,ALBUQUERQUE INTL,ALBUQUERQUE,NM,35.041667,-106.60833,5352,,3,45,5312,3,35.024402,-106.627998,35.041883,-106.607253,35.041596,-106.606898,35.022392,-106.630777,35.022103,-106.630425,35.0319935,-106.6188383
9079,,ABQ,ALBUQUERQUE INTL,ALBUQUERQUE,NM,35.041667,-106.60833,5352,,21,225,5316,NA,35.03892,-106.610474,35.041883,-106.607253,35.041596,-106.606898,35.022392,-106.630777,35.022103,-106.630425,35.0319935,-106.6188383
9079,,ABQ,ALBUQUERQUE INTL,ALBUQUERQUE,NM,35.041667,-106.60833,5352,,12,129,5352,NA,NA,NA,35.043371,-106.620904,35.043692,-106.620593,35.033037,-106.605303,35.033354,-106.604991,35.0383635,-106.6129478
9079,,ABQ,ALBUQUERQUE INTL,ALBUQUERQUE,NM,35.041667,-106.60833,5352,,30,309,5352,3,35.034718,35.034718,35.043371,-106.620904,35.043692,-106.620593,35.033037,-106.605303,35.033354,-106.604991,35.0383635,-106.6129478
9100,,AEG,DOUBLE EAGLE II,ALBUQUERQUE,NM,35.145,-106.795,5834,122.8,4,46,5837,3,35.140362,-106.807137,35.152921,-106.791436,35.152725,-106.791212,35.138847,-106.809302,35.138652,-106.809071,35.14578625,-106.8002553
9100,,AEG,DOUBLE EAGLE II,ALBUQUERQUE,NM,35.145,-106.795,5834,122.8,22,226,5817,NA,NA,NA,35.152921,-106.791436,35.152725,-106.791212,35.138847,-106.809302,35.138652,-106.809071,35.14578625,-106.8002553
9100,,AEG,DOUBLE EAGLE II,ALBUQUERQUE,NM,35.145,-106.795,5834,122.8,17,180,5837,3,35.150249,-106.788877,35.152601,-106.78905,35.152601,-106.788717,35.136139,-106.789025,35.136144,-106.788696,35.14437125,-106.788872
9100,,AEG,DOUBLE EAGLE II,ALBUQUERQUE,NM,35.145,-106.795,5834,122.8,35,360,5837,NA,NA,NA,35.152601,-106.78905,35.152601,-106.788717,35.136139,-106.789025,35.136144,-106.788696,35.14437125,-106.788872
10861,,ELP,EL PASO INTL,EL PASO,TX,31.806667,-106.37833,3956,118.3,4,50,3923,3,31.803315,-106.397401,31.822938,-106.370389,31.822627,-106.370085,31.801706,-106.400018,31.801393,-106.399704,31.812166,-106.385049
10861,,ELP,EL PASO INTL,EL PASO,TX,31.806667,-106.37833,3962,118.3,22,230,3949,3,31.820266,-106.373748,31.822938,-106.370389,31.822627,-106.370085,31.801706,-106.400018,31.801393,-106.399704,31.812166,-106.385049
10861,,ELP,EL PASO INTL,EL PASO,TX,31.806667,-106.37833,3962,118.3,8R,93,3956,3,31.801842,-106.384521,31.800818,-106.359655,31.800409,-106.359682,31.802253,-106.388648,31.801843,-106.388673,31.80133075,-106.3741645
10861,,ELP,EL PASO INTL,EL PASO,TX,31.806667,-106.37833,3962,118.3,26L,273,3962,3,31.800857,-106.364542,31.800818,-106.359655,31.800409,-106.359682,31.802253,-106.388648,31.801843,-106.388673,31.80133075,-106.3741645
10861,,ELP,EL PASO INTL,EL PASO,TX,31.806667,-106.37833,3962,118.3,8L,93,3962,NA,NA,NA,31.80627,-106.352177,31.806059,-106.352172,31.805826,-106.369862,31.805617,-106.369858,31.805943,-106.3610173
10861,,ELP,EL PASO INTL,EL PASO,TX,31.806667,-106.37833,3962,118.3,26R,273,3949,NA,NA,NA,31.80627,-106.352177,31.806059,-106.352172,31.805826,-106.369862,31.805617,-106.369858,31.805943,-106.3610173
10784,,E67,KEARNY,KEARNY,AZ,33.046667,-110.91,1828,122.9,8,93.83,1828,NA,NA,NA,33.047275,-110.904452,33.047114,-110.904464,33.047831,-110.914283,33.047669,-110.914297,33.04747225,-110.909374
10784,,E67,KEARNY,KEARNY,AZ,33.046667,-110.91,1828,122.9,26,273.83,1828,NA,NA,NA,33.047275,-110.904452,33.047114,-110.904464,33.047831,-110.914283,33.047669,-110.914297,33.04747225,-110.909374
15237,,SBA,,SANTA BARBARA,CA,34.433333,-119.83333,13,119.7,7,88,13,NA,NA,NA,34.428128,-119.834607,34.427717,-119.834594,34.427709,-119.854665,34.427299,-119.854652,34.42771325,-119.8446295
15237,,SBA,,SANTA BARBARA,CA,34.433333,-119.83333,13,119.7,25,268,10,3,34.427856,-119.837697,34.428128,-119.834607,34.427717,-119.834594,34.427709,-119.854665,34.427299,-119.854652,34.42771325,-119.8446295
15237,,SBA,,SANTA BARBARA,CA,34.433333,-119.83333,13,119.7,15R,165,13,NA,NA,NA,34.419446,-119.83796,34.419376,-119.838274,34.430579,-119.841396,34.430515,-119.841708,34.424979,-119.8398345
15237,,SBA,,SANTA BARBARA,CA,34.433333,-119.83333,13,119.7,33L,345,13,NA,NA,NA,34.419446,-119.83796,34.419376,-119.838274,34.430579,-119.841396,34.430515,-119.841708,34.424979,-119.8398345
15237,,SBA,,SANTA BARBARA,CA,34.433333,-119.83333,13,119.7,15L,165,13,NA,NA,NA,34.419688,-119.836838,34.419636,-119.837072,34.430208,-119.84008,34.430158,-119.840311,34.4249225,-119.8385753
15237,,SBA,,SANTA BARBARA,CA,34.433333,-119.83333,13,119.7,33R,345,13,NA,NA,NA,34.419688,-119.836838,34.419636,-119.837072,34.430208,-119.84008,34.430158,-119.840311,34.4249225,-119.8385753
15305,,SMO,,SANTA MONICA,CA,34,-118,177,120.1,3,44,177,4,34.012192,-118.455628,34.020837,-118.445738,34.020545,-118.445397,34.011104,-118.457251,34.010816,-118.456909,34.0158255,-118.4513238
15305,,SMO,,SANTA MONICA,CA,34,-118,177,120.1,12,224,177,4,34.019202,-118.44733,34.020837,-118.445738,34.020545,-118.445397,34.011104,-118.457251,34.010816,-118.456909,34.0158255,-118.4513238
